h1,h2,h3,h4,h5,g1,g2,g3,g4,g5,classes,canonical_sum,layered_survivor,selected_top_survivor
0,3,2,57,2,64,64,61,59,2,64,7824,0,0
0,3,4,58,0,65,65,62,58,0,65,7954,0,0
0,3,5,56,1,65,65,62,57,1,65,7897,0,0
0,3,6,54,2,65,65,62,56,2,65,7842,0,0
0,3,8,55,0,66,66,63,55,0,66,7978,0,0
0,3,9,53,1,66,66,63,54,1,66,7924,0,0
0,3,10,51,2,66,66,63,53,2,66,7872,0,0
0,3,12,52,0,67,67,64,52,0,67,8014,0,0
0,3,13,50,1,67,67,64,51,1,67,7963,0,0
0,3,14,48,2,67,67,64,50,2,67,7914,0,0
0,3,16,49,0,68,68,65,49,0,68,8062,0,0
0,3,17,47,1,68,68,65,48,1,68,8014,0,0
0,3,18,45,2,68,68,65,47,2,68,7968,0,0
0,3,20,46,0,69,69,66,46,0,69,8122,0,0
0,3,21,44,1,69,69,66,45,1,69,8077,0,0
0,3,22,42,2,69,69,66,44,2,69,8034,0,0
0,3,24,43,0,70,70,67,43,0,70,8194,0,0
0,3,25,41,1,70,70,67,42,1,70,8152,0,0
0,3,26,39,2,70,70,67,41,2,70,8112,0,0
0,3,29,38,1,71,71,68,39,1,71,8239,1,0
0,3,30,36,2,71,71,68,38,2,71,8202,0,0
0,4,0,58,2,64,64,60,60,2,64,7823,0,0
0,4,2,59,0,65,65,61,59,0,65,7951,0,0
0,4,3,57,1,65,65,61,58,1,65,7893,0,0
0,4,4,55,2,65,65,61,57,2,65,7837,0,0
0,4,6,56,0,66,66,62,56,0,66,7971,0,0
0,4,7,54,1,66,66,62,55,1,66,7916,0,0
0,4,8,52,2,66,66,62,54,2,66,7863,0,0
0,4,10,53,0,67,67,63,53,0,67,8003,0,0
0,4,11,51,1,67,67,63,52,1,67,7951,0,0
0,4,12,49,2,67,67,63,51,2,67,7901,0,0
0,4,14,50,0,68,68,64,50,0,68,8047,0,0
0,4,15,48,1,68,68,64,49,1,68,7998,0,0
0,4,16,46,2,68,68,64,48,2,68,7951,0,0
0,4,18,47,0,69,69,65,47,0,69,8103,0,0
0,4,19,45,1,69,69,65,46,1,69,8057,0,0
0,4,20,43,2,69,69,65,45,2,69,8013,0,0
0,4,22,44,0,70,70,66,44,0,70,8171,0,0
0,4,23,42,1,70,70,66,43,1,70,8128,0,0
0,4,24,40,2,70,70,66,42,2,70,8087,0,0
0,4,26,41,0,71,71,67,41,0,71,8251,0,0
0,4,27,39,1,71,71,67,40,1,71,8211,0,0
0,4,28,37,2,71,71,67,39,2,71,8173,0,0
0,4,32,34,2,72,72,68,36,2,72,8271,1,1
0,5,0,60,0,65,65,60,60,0,65,7950,0,0
0,5,1,58,1,65,65,60,59,1,65,7891,0,0
0,5,2,56,2,65,65,60,58,2,65,7834,0,0
0,5,4,57,0,66,66,61,57,0,66,7966,0,0
0,5,5,55,1,66,66,61,56,1,66,7910,0,0
0,5,6,53,2,66,66,61,55,2,66,7856,0,0
0,5,8,54,0,67,67,62,54,0,67,7994,0,0
0,5,9,52,1,67,67,62,53,1,67,7941,0,0
0,5,10,50,2,67,67,62,52,2,67,7890,0,0
0,5,12,51,0,68,68,63,51,0,68,8034,0,0
0,5,13,49,1,68,68,63,50,1,68,7984,0,0
0,5,14,47,2,68,68,63,49,2,68,7936,0,0
0,5,16,48,0,69,69,64,48,0,69,8086,0,0
0,5,17,46,1,69,69,64,47,1,69,8039,0,0
0,5,18,44,2,69,69,64,46,2,69,7994,0,0
0,5,20,45,0,70,70,65,45,0,70,8150,0,0
0,5,21,43,1,70,70,65,44,1,70,8106,0,0
0,5,22,41,2,70,70,65,43,2,70,8064,0,0
0,5,24,42,0,71,71,66,42,0,71,8226,0,0
0,5,25,40,1,71,71,66,41,1,71,8185,0,0
0,5,26,38,2,71,71,66,40,2,71,8146,0,0
0,5,29,37,1,72,72,67,38,1,72,8276,1,1
0,5,30,35,2,72,72,67,37,2,72,8240,0,0
0,6,0,57,2,65,65,59,59,2,65,7833,0,0
0,6,2,58,0,66,66,60,58,0,66,7963,0,0
0,6,3,56,1,66,66,60,57,1,66,7906,0,0
0,6,4,54,2,66,66,60,56,2,66,7851,0,0
0,6,6,55,0,67,67,61,55,0,67,7987,0,0
0,6,7,53,1,67,67,61,54,1,67,7933,0,0
0,6,8,51,2,67,67,61,53,2,67,7881,0,0
0,6,10,52,0,68,68,62,52,0,68,8023,0,0
0,6,11,50,1,68,68,62,51,1,68,7972,0,0
0,6,12,48,2,68,68,62,50,2,68,7923,0,0
0,6,14,49,0,69,69,63,49,0,69,8071,0,0
0,6,15,47,1,69,69,63,48,1,69,8023,0,0
0,6,16,45,2,69,69,63,47,2,69,7977,0,0
0,6,18,46,0,70,70,64,46,0,70,8131,0,0
0,6,19,44,1,70,70,64,45,1,70,8086,0,0
0,6,20,42,2,70,70,64,44,2,70,8043,0,0
0,6,22,43,0,71,71,65,43,0,71,8203,0,0
0,6,23,41,1,71,71,65,42,1,71,8161,0,0
0,6,24,39,2,71,71,65,41,2,71,8121,0,0
0,6,27,38,1,72,72,66,39,1,72,8248,1,0
0,6,28,36,2,72,72,66,38,2,72,8211,0,0
0,7,0,59,0,66,66,59,59,0,66,7962,0,0
0,7,1,57,1,66,66,59,58,1,66,7904,0,0
0,7,2,55,2,66,66,59,57,2,66,7848,0,0
0,7,4,56,0,67,67,60,56,0,67,7982,0,0
0,7,5,54,1,67,67,60,55,1,67,7927,0,0
0,7,6,52,2,67,67,60,54,2,67,7874,0,0
0,7,8,53,0,68,68,61,53,0,68,8014,0,0
0,7,9,51,1,68,68,61,52,1,68,7962,0,0
0,7,10,49,2,68,68,61,51,2,68,7912,0,0
0,7,12,50,0,69,69,62,50,0,69,8058,0,0
0,7,13,48,1,69,69,62,49,1,69,8009,0,0
0,7,14,46,2,69,69,62,48,2,69,7962,0,0
0,7,16,47,0,70,70,63,47,0,70,8114,0,0
0,7,17,45,1,70,70,63,46,1,70,8068,0,0
0,7,18,43,2,70,70,63,45,2,70,8024,0,0
0,7,20,44,0,71,71,64,44,0,71,8182,0,0
0,7,21,42,1,71,71,64,43,1,71,8139,0,0
0,7,22,40,2,71,71,64,42,2,71,8098,0,0
0,7,24,41,0,72,72,65,41,0,72,8262,0,0
0,7,25,39,1,72,72,65,40,1,72,8222,0,0
0,7,26,37,2,72,72,65,39,2,72,8184,0,0
0,8,0,56,2,66,66,58,58,2,66,7847,0,0
0,8,2,57,0,67,67,59,57,0,67,7979,0,0
0,8,3,55,1,67,67,59,56,1,67,7923,0,0
0,8,4,53,2,67,67,59,55,2,67,7869,0,0
0,8,6,54,0,68,68,60,54,0,68,8007,0,0
0,8,7,52,1,68,68,60,53,1,68,7954,0,0
0,8,8,50,2,68,68,60,52,2,68,7903,0,0
0,8,10,51,0,69,69,61,51,0,69,8047,0,0
0,8,11,49,1,69,69,61,50,1,69,7997,0,0
0,8,12,47,2,69,69,61,49,2,69,7949,0,0
0,8,14,48,0,70,70,62,48,0,70,8099,0,0
0,8,15,46,1,70,70,62,47,1,70,8052,0,0
0,8,16,44,2,70,70,62,46,2,70,8007,0,0
0,8,18,45,0,71,71,63,45,0,71,8163,0,0
0,8,19,43,1,71,71,63,44,1,71,8119,0,0
0,8,20,41,2,71,71,63,43,2,71,8077,0,0
0,8,22,42,0,72,72,64,42,0,72,8239,0,0
0,8,23,40,1,72,72,64,41,1,72,8198,0,0
0,8,24,38,2,72,72,64,40,2,72,8159,0,0
0,8,28,35,2,73,73,65,37,2,73,8253,0,0
0,9,0,58,0,67,67,58,58,0,67,7978,0,0
0,9,1,56,1,67,67,58,57,1,67,7921,0,0
0,9,2,54,2,67,67,58,56,2,67,7866,0,0
0,9,4,55,0,68,68,59,55,0,68,8002,0,0
0,9,5,53,1,68,68,59,54,1,68,7948,0,0
0,9,6,51,2,68,68,59,53,2,68,7896,0,0
0,9,8,52,0,69,69,60,52,0,69,8038,0,0
0,9,9,50,1,69,69,60,51,1,69,7987,0,0
0,9,10,48,2,69,69,60,50,2,69,7938,0,0
0,9,12,49,0,70,70,61,49,0,70,8086,0,0
0,9,13,47,1,70,70,61,48,1,70,8038,0,0
0,9,14,45,2,70,70,61,47,2,70,7992,0,0
0,9,16,46,0,71,71,62,46,0,71,8146,0,0
0,9,17,44,1,71,71,62,45,1,71,8101,0,0
0,9,18,42,2,71,71,62,44,2,71,8058,0,0
0,9,20,43,0,72,72,63,43,0,72,8218,0,0
0,9,21,41,1,72,72,63,42,1,72,8176,0,0
0,9,22,39,2,72,72,63,41,2,72,8136,0,0
0,9,25,38,1,73,73,64,39,1,73,8263,1,0
0,9,26,36,2,73,73,64,38,2,73,8226,0,0
0,10,0,55,2,67,67,57,57,2,67,7865,0,0
0,10,2,56,0,68,68,58,56,0,68,7999,0,0
0,10,3,54,1,68,68,58,55,1,68,7944,0,0
0,10,4,52,2,68,68,58,54,2,68,7891,0,0
0,10,6,53,0,69,69,59,53,0,69,8031,0,0
0,10,7,51,1,69,69,59,52,1,69,7979,0,0
0,10,8,49,2,69,69,59,51,2,69,7929,0,0
0,10,10,50,0,70,70,60,50,0,70,8075,0,0
0,10,11,48,1,70,70,60,49,1,70,8026,0,0
0,10,12,46,2,70,70,60,48,2,70,7979,0,0
0,10,14,47,0,71,71,61,47,0,71,8131,0,0
0,10,15,45,1,71,71,61,46,1,71,8085,0,0
0,10,16,43,2,71,71,61,45,2,71,8041,0,0
0,10,18,44,0,72,72,62,44,0,72,8199,0,0
0,10,19,42,1,72,72,62,43,1,72,8156,0,0
0,10,20,40,2,72,72,62,42,2,72,8115,0,0
0,10,23,39,1,73,73,63,40,1,73,8239,0,0
0,10,24,37,2,73,73,63,39,2,73,8201,0,0
0,11,0,57,0,68,68,57,57,0,68,7998,0,0
0,11,1,55,1,68,68,57,56,1,68,7942,0,0
0,11,2,53,2,68,68,57,55,2,68,7888,0,0
0,11,4,54,0,69,69,58,54,0,69,8026,0,0
0,11,5,52,1,69,69,58,53,1,69,7973,0,0
0,11,6,50,2,69,69,58,52,2,69,7922,0,0
0,11,8,51,0,70,70,59,51,0,70,8066,0,0
0,11,9,49,1,70,70,59,50,1,70,8016,0,0
0,11,10,47,2,70,70,59,49,2,70,7968,0,0
0,11,12,48,0,71,71,60,48,0,71,8118,0,0
0,11,13,46,1,71,71,60,47,1,71,8071,0,0
0,11,14,44,2,71,71,60,46,2,71,8026,0,0
0,11,16,45,0,72,72,61,45,0,72,8182,0,0
0,11,17,43,1,72,72,61,44,1,72,8138,0,0
0,11,18,41,2,72,72,61,43,2,72,8096,0,0
0,11,20,42,0,73,73,62,42,0,73,8258,0,0
0,11,21,40,1,73,73,62,41,1,73,8217,0,0
0,11,22,38,2,73,73,62,40,2,73,8178,0,0
0,11,26,35,2,74,74,63,37,2,74,8272,0,0
0,12,0,54,2,68,68,56,56,2,68,7887,0,0
0,12,2,55,0,69,69,57,55,0,69,8023,0,0
0,12,3,53,1,69,69,57,54,1,69,7969,0,0
0,12,4,51,2,69,69,57,53,2,69,7917,0,0
0,12,6,52,0,70,70,58,52,0,70,8059,0,0
0,12,7,50,1,70,70,58,51,1,70,8008,0,0
0,12,8,48,2,70,70,58,50,2,70,7959,0,0
0,12,10,49,0,71,71,59,49,0,71,8107,0,0
0,12,11,47,1,71,71,59,48,1,71,8059,0,0
0,12,12,45,2,71,71,59,47,2,71,8013,0,0
0,12,14,46,0,72,72,60,46,0,72,8167,0,0
0,12,15,44,1,72,72,60,45,1,72,8122,0,0
0,12,16,42,2,72,72,60,44,2,72,8079,0,0
0,12,18,43,0,73,73,61,43,0,73,8239,0,0
0,12,19,41,1,73,73,61,42,1,73,8197,0,0
0,12,20,39,2,73,73,61,41,2,73,8157,0,0
0,12,24,36,2,74,74,62,38,2,74,8247,0,0
0,13,0,56,0,69,69,56,56,0,69,8022,0,0
0,13,1,54,1,69,69,56,55,1,69,7967,0,0
0,13,2,52,2,69,69,56,54,2,69,7914,0,0
0,13,4,53,0,70,70,57,53,0,70,8054,0,0
0,13,5,51,1,70,70,57,52,1,70,8002,0,0
0,13,6,49,2,70,70,57,51,2,70,7952,0,0
0,13,8,50,0,71,71,58,50,0,71,8098,0,0
0,13,9,48,1,71,71,58,49,1,71,8049,0,0
0,13,10,46,2,71,71,58,48,2,71,8002,0,0
0,13,12,47,0,72,72,59,47,0,72,8154,0,0
0,13,13,45,1,72,72,59,46,1,72,8108,0,0
0,13,14,43,2,72,72,59,45,2,72,8064,0,0
0,13,16,44,0,73,73,60,44,0,73,8222,0,0
0,13,17,42,1,73,73,60,43,1,73,8179,0,0
0,13,18,40,2,73,73,60,42,2,73,8138,0,0
0,13,21,39,1,74,74,61,40,1,74,8262,0,0
0,13,22,37,2,74,74,61,39,2,74,8224,0,0
0,14,0,53,2,69,69,55,55,2,69,7913,0,0
0,14,2,54,0,70,70,56,54,0,70,8051,0,0
0,14,3,52,1,70,70,56,53,1,70,7998,0,0
0,14,4,50,2,70,70,56,52,2,70,7947,0,0
0,14,6,51,0,71,71,57,51,0,71,8091,0,0
0,14,7,49,1,71,71,57,50,1,71,8041,0,0
0,14,8,47,2,71,71,57,49,2,71,7993,0,0
0,14,10,48,0,72,72,58,48,0,72,8143,0,0
0,14,11,46,1,72,72,58,47,1,72,8096,0,0
0,14,12,44,2,72,72,58,46,2,72,8051,0,0
0,14,14,45,0,73,73,59,45,0,73,8207,0,0
0,14,15,43,1,73,73,59,44,1,73,8163,0,0
0,14,16,41,2,73,73,59,43,2,73,8121,0,0
0,14,19,40,1,74,74,60,41,1,74,8242,0,0
0,14,20,38,2,74,74,60,40,2,74,8203,0,0
0,15,0,55,0,70,70,55,55,0,70,8050,0,0
0,15,1,53,1,70,70,55,54,1,70,7996,0,0
0,15,2,51,2,70,70,55,53,2,70,7944,0,0
0,15,4,52,0,71,71,56,52,0,71,8086,0,0
0,15,5,50,1,71,71,56,51,1,71,8035,0,0
0,15,6,48,2,71,71,56,50,2,71,7986,0,0
0,15,8,49,0,72,72,57,49,0,72,8134,0,0
0,15,9,47,1,72,72,57,48,1,72,8086,0,0
0,15,10,45,2,72,72,57,47,2,72,8040,0,0
0,15,12,46,0,73,73,58,46,0,73,8194,0,0
0,15,13,44,1,73,73,58,45,1,73,8149,0,0
0,15,14,42,2,73,73,58,44,2,73,8106,0,0
0,15,16,43,0,74,74,59,43,0,74,8266,0,0
0,15,17,41,1,74,74,59,42,1,74,8224,0,0
0,15,18,39,2,74,74,59,41,2,74,8184,0,0
0,15,22,36,2,75,75,60,38,2,75,8274,0,0
0,16,0,52,2,70,70,54,54,2,70,7943,0,0
0,16,2,53,0,71,71,55,53,0,71,8083,0,0
0,16,3,51,1,71,71,55,52,1,71,8031,0,0
0,16,4,49,2,71,71,55,51,2,71,7981,0,0
0,16,6,50,0,72,72,56,50,0,72,8127,0,0
0,16,7,48,1,72,72,56,49,1,72,8078,0,0
0,16,8,46,2,72,72,56,48,2,72,8031,0,0
0,16,10,47,0,73,73,57,47,0,73,8183,0,0
0,16,11,45,1,73,73,57,46,1,73,8137,0,0
0,16,12,43,2,73,73,57,45,2,73,8093,0,0
0,16,14,44,0,74,74,58,44,0,74,8251,0,0
0,16,15,42,1,74,74,58,43,1,74,8208,0,0
0,16,16,40,2,74,74,58,42,2,74,8167,0,0
0,16,20,37,2,75,75,59,39,2,75,8253,0,0
0,17,0,54,0,71,71,54,54,0,71,8082,0,0
0,17,1,52,1,71,71,54,53,1,71,8029,0,0
0,17,2,50,2,71,71,54,52,2,71,7978,0,0
0,17,4,51,0,72,72,55,51,0,72,8122,0,0
0,17,5,49,1,72,72,55,50,1,72,8072,0,0
0,17,6,47,2,72,72,55,49,2,72,8024,0,0
0,17,8,48,0,73,73,56,48,0,73,8174,0,0
0,17,9,46,1,73,73,56,47,1,73,8127,0,0
0,17,10,44,2,73,73,56,46,2,73,8082,0,0
0,17,12,45,0,74,74,57,45,0,74,8238,0,0
0,17,13,43,1,74,74,57,44,1,74,8194,0,0
0,17,14,41,2,74,74,57,43,2,74,8152,0,0
0,17,17,40,1,75,75,58,41,1,75,8273,0,0
0,17,18,38,2,75,75,58,40,2,75,8234,0,0
0,18,0,51,2,71,71,53,53,2,71,7977,0,0
0,18,2,52,0,72,72,54,52,0,72,8119,0,0
0,18,3,50,1,72,72,54,51,1,72,8068,0,0
0,18,4,48,2,72,72,54,50,2,72,8019,0,0
0,18,6,49,0,73,73,55,49,0,73,8167,0,0
0,18,7,47,1,73,73,55,48,1,73,8119,0,0
0,18,8,45,2,73,73,55,47,2,73,8073,0,0
0,18,10,46,0,74,74,56,46,0,74,8227,0,0
0,18,11,44,1,74,74,56,45,1,74,8182,0,0
0,18,12,42,2,74,74,56,44,2,74,8139,0,0
0,18,15,41,1,75,75,57,42,1,75,8257,0,0
0,18,16,39,2,75,75,57,41,2,75,8217,0,0
0,19,0,53,0,72,72,53,53,0,72,8118,0,0
0,19,1,51,1,72,72,53,52,1,72,8066,0,0
0,19,2,49,2,72,72,53,51,2,72,8016,0,0
0,19,4,50,0,73,73,54,50,0,73,8162,0,0
0,19,5,48,1,73,73,54,49,1,73,8113,0,0
0,19,6,46,2,73,73,54,48,2,73,8066,0,0
0,19,8,47,0,74,74,55,47,0,74,8218,0,0
0,19,9,45,1,74,74,55,46,1,74,8172,0,0
0,19,10,43,2,74,74,55,45,2,74,8128,0,0
0,19,13,42,1,75,75,56,43,1,75,8243,0,0
0,19,14,40,2,75,75,56,42,2,75,8202,0,0
0,20,0,50,2,72,72,52,52,2,72,8015,0,0
0,20,2,51,0,73,73,53,51,0,73,8159,0,0
0,20,3,49,1,73,73,53,50,1,73,8109,0,0
0,20,4,47,2,73,73,53,49,2,73,8061,0,0
0,20,6,48,0,74,74,54,48,0,74,8211,0,0
0,20,7,46,1,74,74,54,47,1,74,8164,0,0
0,20,8,44,2,74,74,54,46,2,74,8119,0,0
0,20,10,45,0,75,75,55,45,0,75,8275,0,0
0,20,11,43,1,75,75,55,44,1,75,8231,0,0
0,20,12,41,2,75,75,55,43,2,75,8189,0,0
0,20,16,38,2,76,76,56,40,2,76,8271,0,0
0,21,0,52,0,73,73,52,52,0,73,8158,0,0
0,21,1,50,1,73,73,52,51,1,73,8107,0,0
0,21,2,48,2,73,73,52,50,2,73,8058,0,0
0,21,4,49,0,74,74,53,49,0,74,8206,0,0
0,21,5,47,1,74,74,53,48,1,74,8158,0,0
0,21,6,45,2,74,74,53,47,2,74,8112,0,0
0,21,8,46,0,75,75,54,46,0,75,8266,0,0
0,21,9,44,1,75,75,54,45,1,75,8221,0,0
0,21,10,42,2,75,75,54,44,2,75,8178,0,0
0,21,14,39,2,76,76,55,41,2,76,8256,0,0
0,22,0,49,2,73,73,51,51,2,73,8057,0,0
0,22,2,50,0,74,74,52,50,0,74,8203,0,0
0,22,3,48,1,74,74,52,49,1,74,8154,0,0
0,22,4,46,2,74,74,52,48,2,74,8107,0,0
0,22,6,47,0,75,75,53,47,0,75,8259,0,0
0,22,7,45,1,75,75,53,46,1,75,8213,0,0
0,22,8,43,2,75,75,53,45,2,75,8169,0,0
0,22,12,40,2,76,76,54,42,2,76,8243,0,0
0,23,0,51,0,74,74,51,51,0,74,8202,0,0
0,23,1,49,1,74,74,51,50,1,74,8152,0,0
0,23,2,47,2,74,74,51,49,2,74,8104,0,0
0,23,4,48,0,75,75,52,48,0,75,8254,0,0
0,23,5,46,1,75,75,52,47,1,75,8207,0,0
0,23,6,44,2,75,75,52,46,2,75,8162,0,0
0,23,9,43,1,76,76,53,44,1,76,8274,0,0
0,23,10,41,2,76,76,53,43,2,76,8232,0,0
0,24,0,48,2,74,74,50,50,2,74,8103,0,0
0,24,2,49,0,75,75,51,49,0,75,8251,0,0
0,24,3,47,1,75,75,51,48,1,75,8203,0,0
0,24,4,45,2,75,75,51,47,2,75,8157,0,0
0,24,7,44,1,76,76,52,45,1,76,8266,0,0
0,24,8,42,2,76,76,52,44,2,76,8223,0,0
0,25,0,50,0,75,75,50,50,0,75,8250,0,0
0,25,1,48,1,75,75,50,49,1,75,8201,0,0
0,25,2,46,2,75,75,50,48,2,75,8154,0,0
0,25,5,45,1,76,76,51,46,1,76,8260,0,0
0,25,6,43,2,76,76,51,45,2,76,8216,0,0
0,26,0,47,2,75,75,49,49,2,75,8153,0,0
0,26,3,46,1,76,76,50,47,1,76,8256,0,0
0,26,4,44,2,76,76,50,46,2,76,8211,0,0
0,27,1,47,1,76,76,49,48,1,76,8254,0,0
0,27,2,45,2,76,76,49,47,2,76,8208,0,0
0,27,6,42,2,77,77,50,44,2,77,8274,0,0
0,28,0,46,2,76,76,48,48,2,76,8207,0,0
0,28,4,43,2,77,77,49,45,2,77,8269,0,0
0,29,2,44,2,77,77,48,46,2,77,8266,0,0
0,30,0,45,2,77,77,47,47,2,77,8265,0,0
1,0,0,61,1,63,62,62,62,1,63,7876,0,0
1,0,1,59,2,63,62,62,61,2,63,7816,0,0
1,0,3,60,0,64,63,63,60,0,64,7942,0,0
1,0,4,58,1,64,63,63,59,1,64,7883,0,0
1,0,5,56,2,64,63,63,58,2,64,7826,0,0
1,0,7,57,0,65,64,64,57,0,65,7958,0,0
1,0,8,55,1,65,64,64,56,1,65,7902,0,0
1,0,9,53,2,65,64,64,55,2,65,7848,0,0
1,0,11,54,0,66,65,65,54,0,66,7986,0,0
1,0,12,52,1,66,65,65,53,1,66,7933,0,0
1,0,13,50,2,66,65,65,52,2,66,7882,0,0
1,0,15,51,0,67,66,66,51,0,67,8026,0,0
1,0,16,49,1,67,66,66,50,1,67,7976,0,0
1,0,17,47,2,67,66,66,49,2,67,7928,0,0
1,0,19,48,0,68,67,67,48,0,68,8078,0,0
1,0,20,46,1,68,67,67,47,1,68,8031,0,0
1,0,21,44,2,68,67,67,46,2,68,7986,0,0
1,0,23,45,0,69,68,68,45,0,69,8142,0,0
1,0,24,43,1,69,68,68,44,1,69,8098,0,0
1,0,25,41,2,69,68,68,43,2,69,8056,0,0
1,0,27,42,0,70,69,69,42,0,70,8218,0,0
1,0,28,40,1,70,69,69,41,1,70,8177,0,0
1,0,29,38,2,70,69,69,40,2,70,8138,0,0
1,0,32,37,1,71,70,70,38,1,71,8268,1,1
1,0,33,35,2,71,70,70,37,2,71,8232,0,0
1,1,1,61,0,64,63,62,61,0,64,7940,0,0
1,1,2,59,1,64,63,62,60,1,64,7880,0,0
1,1,3,57,2,64,63,62,59,2,64,7822,0,0
1,1,5,58,0,65,64,63,58,0,65,7952,0,0
1,1,6,56,1,65,64,63,57,1,65,7895,0,0
1,1,7,54,2,65,64,63,56,2,65,7840,0,0
1,1,9,55,0,66,65,64,55,0,66,7976,0,0
1,1,10,53,1,66,65,64,54,1,66,7922,0,0
1,1,11,51,2,66,65,64,53,2,66,7870,0,0
1,1,13,52,0,67,66,65,52,0,67,8012,0,0
1,1,14,50,1,67,66,65,51,1,67,7961,0,0
1,1,15,48,2,67,66,65,50,2,67,7912,0,0
1,1,17,49,0,68,67,66,49,0,68,8060,0,0
1,1,18,47,1,68,67,66,48,1,68,8012,0,0
1,1,19,45,2,68,67,66,47,2,68,7966,0,0
1,1,21,46,0,69,68,67,46,0,69,8120,0,0
1,1,22,44,1,69,68,67,45,1,69,8075,0,0
