packing,objective,strength,h1,h2,h3,h4,h5
1,29826,129,6,4,5,99,15
1,29822,129,6,5,3,100,15
1,29820,129,6,6,1,101,15
1,29847,130,6,6,5,98,15
1,29843,130,6,7,3,99,15
1,29841,130,6,8,1,100,15
1,29808,128,7,0,6,100,15
1,29839,129,7,0,10,97,15
1,29803,128,7,1,4,101,15
1,29830,129,7,1,8,98,15
1,29823,129,7,2,6,99,15
1,29818,129,7,3,4,100,15
1,29815,129,7,4,2,101,15
1,29842,130,7,4,6,98,15
1,29837,130,7,5,4,99,15
1,29834,130,7,6,2,100,15
1,29833,130,7,7,0,101,15
1,29822,129,8,0,7,99,15
1,29816,129,8,1,5,100,15
1,29847,130,8,1,9,97,15
1,29812,129,8,2,3,101,15
1,29839,130,8,2,7,98,15
1,29833,130,8,3,5,99,15
1,29829,130,8,4,3,100,15
1,29827,130,8,5,1,101,15
1,29811,129,9,0,4,101,15
1,29838,130,9,0,8,98,15
1,29831,130,9,1,6,99,15
1,29826,130,9,2,4,100,15
1,29823,130,9,3,2,101,15
1,29845,131,9,4,4,99,15
1,29842,131,9,5,2,100,15
1,29841,131,9,6,0,101,15
1,29825,130,10,0,5,100,15
1,29821,130,10,1,3,101,15
1,29842,131,10,2,5,99,15
1,29838,131,10,3,3,100,15
1,29836,131,10,4,1,101,15
1,29841,131,11,0,6,99,15
1,29836,131,11,1,4,100,15
1,29833,131,11,2,2,101,15
1,29832,131,12,0,3,101,15
1,29847,132,12,3,1,101,15
1,29845,132,13,1,2,101,15
2,29811,124,0,0,11,98,15
2,29801,124,0,1,9,99,15
2,29836,125,0,1,13,96,15
2,29793,124,0,2,7,100,15
2,29824,125,0,2,11,97,15
2,29814,125,0,3,9,98,15
2,29806,125,0,4,7,99,15
2,29841,126,0,4,11,96,15
2,29800,125,0,5,5,100,15
2,29831,126,0,5,9,97,15
2,29823,126,0,6,7,98,15
2,29817,126,0,7,5,99,15
2,29813,126,0,8,3,100,15
2,29844,127,0,8,7,97,15
2,29838,127,0,9,5,98,15
2,29834,127,0,10,3,99,15
2,29832,127,0,11,1,100,15
2,29792,124,1,0,8,100,15
2,29823,125,1,0,12,97,15
2,29812,125,1,1,10,98,15
2,29803,125,1,2,8,99,15
2,29838,126,1,2,12,96,15
2,29796,125,1,3,6,100,15
2,29827,126,1,3,10,97,15
2,29818,126,1,4,8,98,15
2,29811,126,1,5,6,99,15
2,29846,127,1,5,10,96,15
2,29806,126,1,6,4,100,15
2,29837,127,1,6,8,97,15
2,29830,127,1,7,6,98,15
2,29825,127,1,8,4,99,15
2,29822,127,1,9,2,100,15
2,29845,128,1,11,2,99,15
2,29844,128,1,12,0,100,15
2,29802,125,2,0,9,99,15
2,29837,126,2,0,13,96,15
2,29794,125,2,1,7,100,15
2,29825,126,2,1,11,97,15
2,29815,126,2,2,9,98,15
2,29807,126,2,3,7,99,15
2,29842,127,2,3,11,96,15
2,29801,126,2,4,5,100,15
2,29832,127,2,4,9,97,15
2,29824,127,2,5,7,98,15
2,29818,127,2,6,5,99,15
2,29814,127,2,7,3,100,15
2,29845,128,2,7,7,97,15
2,29839,128,2,8,5,98,15
2,29835,128,2,9,3,99,15
2,29833,128,2,10,1,100,15
2,29814,126,3,0,10,98,15
2,29805,126,3,1,8,99,15
2,29840,127,3,1,12,96,15
2,29798,126,3,2,6,100,15
2,29829,127,3,2,10,97,15
2,29820,127,3,3,8,98,15
2,29813,127,3,4,6,99,15
2,29808,127,3,5,4,100,15
2,29839,128,3,5,8,97,15
2,29832,128,3,6,6,98,15
2,29827,128,3,7,4,99,15
2,29824,128,3,8,2,100,15
2,29847,129,3,10,2,99,15
2,29846,129,3,11,0,100,15
2,29797,126,4,0,7,100,15
2,29828,127,4,0,11,97,15
2,29818,127,4,1,9,98,15
2,29810,127,4,2,7,99,15
2,29845,128,4,2,11,96,15
2,29804,127,4,3,5,100,15
2,29835,128,4,3,9,97,15
2,29827,128,4,4,7,98,15
2,29821,128,4,5,5,99,15
2,29817,128,4,6,3,100,15
2,29842,129,4,7,5,98,15
2,29838,129,4,8,3,99,15
2,29836,129,4,9,1,100,15
2,29809,127,5,0,8,99,15
2,29844,128,5,0,12,96,15
2,29802,127,5,1,6,100,15
2,29833,128,5,1,10,97,15
2,29824,128,5,2,8,98,15
2,29817,128,5,3,6,99,15
2,29812,128,5,4,4,100,15
2,29843,129,5,4,8,97,15
2,29836,129,5,5,6,98,15
2,29831,129,5,6,4,99,15
2,29828,129,5,7,2,100,15
2,29823,128,6,0,9,98,15
2,29815,128,6,1,7,99,15
2,29809,128,6,2,5,100,15
2,29840,129,6,2,9,97,15
2,29832,129,6,3,7,98,15
2,29826,129,6,4,5,99,15
2,29822,129,6,5,3,100,15
2,29847,130,6,6,5,98,15
2,29843,130,6,7,3,99,15
2,29841,130,6,8,1,100,15
2,29808,128,7,0,6,100,15
2,29839,129,7,0,10,97,15
2,29830,129,7,1,8,98,15
2,29823,129,7,2,6,99,15
2,29818,129,7,3,4,100,15
2,29842,130,7,4,6,98,15
2,29837,130,7,5,4,99,15
2,29834,130,7,6,2,100,15
2,29822,129,8,0,7,99,15
2,29816,129,8,1,5,100,15
2,29847,130,8,1,9,97,15
2,29839,130,8,2,7,98,15
2,29833,130,8,3,5,99,15
2,29829,130,8,4,3,100,15
2,29838,130,9,0,8,98,15
2,29831,130,9,1,6,99,15
2,29826,130,9,2,4,100,15
2,29845,131,9,4,4,99,15
2,29842,131,9,5,2,100,15
2,29825,130,10,0,5,100,15
2,29842,131,10,2,5,99,15
2,29838,131,10,3,3,100,15
2,29841,131,11,0,6,99,15
2,29836,131,11,1,4,100,15
3,29811,124,0,0,11,98,15
3,29801,124,0,1,9,99,15
3,29836,125,0,1,13,96,15
3,29793,124,0,2,7,100,15
3,29824,125,0,2,11,97,15
3,29814,125,0,3,9,98,15
3,29806,125,0,4,7,99,15
3,29841,126,0,4,11,96,15
3,29800,125,0,5,5,100,15
3,29831,126,0,5,9,97,15
3,29796,125,0,6,3,101,15
3,29823,126,0,6,7,98,15
3,29817,126,0,7,5,99,15
3,29813,126,0,8,3,100,15
3,29844,127,0,8,7,97,15
3,29811,126,0,9,1,101,15
3,29838,127,0,9,5,98,15
3,29834,127,0,10,3,99,15
3,29832,127,0,11,1,100,15
3,29792,124,1,0,8,100,15
3,29823,125,1,0,12,97,15
3,29812,125,1,1,10,98,15
3,29803,125,1,2,8,99,15
3,29838,126,1,2,12,96,15
3,29796,125,1,3,6,100,15
3,29827,126,1,3,10,97,15
3,29791,125,1,4,4,101,15
3,29818,126,1,4,8,98,15
3,29811,126,1,5,6,99,15
3,29846,127,1,5,10,96,15
3,29806,126,1,6,4,100,15
3,29837,127,1,6,8,97,15
3,29803,126,1,7,2,101,15
3,29830,127,1,7,6,98,15
3,29825,127,1,8,4,99,15
3,29822,127,1,9,2,100,15
3,29821,127,1,10,0,101,15
3,29845,128,1,11,2,99,15
3,29844,128,1,12,0,100,15
3,29802,125,2,0,9,99,15
3,29837,126,2,0,13,96,15
3,29794,125,2,1,7,100,15
3,29825,126,2,1,11,97,15
3,29788,125,2,2,5,101,15
3,29815,126,2,2,9,98,15
3,29807,126,2,3,7,99,15
3,29842,127,2,3,11,96,15
3,29801,126,2,4,5,100,15
3,29832,127,2,4,9,97,15
3,29797,126,2,5,3,101,15
3,29824,127,2,5,7,98,15
3,29818,127,2,6,5,99,15
3,29814,127,2,7,3,100,15
3,29845,128,2,7,7,97,15
3,29812,127,2,8,1,101,15
3,29839,128,2,8,5,98,15
3,29835,128,2,9,3,99,15
3,29833,128,2,10,1,100,15
3,29787,125,3,0,6,101,15
3,29814,126,3,0,10,98,15
3,29805,126,3,1,8,99,15
3,29840,127,3,1,12,96,15
3,29798,126,3,2,6,100,15
3,29829,127,3,2,10,97,15
3,29793,126,3,3,4,101,15
3,29820,127,3,3,8,98,15
3,29813,127,3,4,6,99,15
3,29808,127,3,5,4,100,15
3,29839,128,3,5,8,97,15
3,29805,127,3,6,2,101,15
3,29832,128,3,6,6,98,15
3,29827,128,3,7,4,99,15
3,29824,128,3,8,2,100,15
3,29823,128,3,9,0,101,15
3,29847,129,3,10,2,99,15
3,29846,129,3,11,0,100,15
3,29797,126,4,0,7,100,15
3,29828,127,4,0,11,97,15
3,29791,126,4,1,5,101,15
3,29818,127,4,1,9,98,15
3,29810,127,4,2,7,99,15
3,29845,128,4,2,11,96,15
3,29804,127,4,3,5,100,15
3,29835,128,4,3,9,97,15
3,29800,127,4,4,3,101,15
3,29827,128,4,4,7,98,15
3,29821,128,4,5,5,99,15
3,29817,128,4,6,3,100,15
3,29815,128,4,7,1,101,15
3,29842,129,4,7,5,98,15
3,29838,129,4,8,3,99,15
3,29836,129,4,9,1,100,15
3,29809,127,5,0,8,99,15
3,29844,128,5,0,12,96,15
3,29802,127,5,1,6,100,15
3,29833,128,5,1,10,97,15
3,29797,127,5,2,4,101,15
3,29824,128,5,2,8,98,15
3,29817,128,5,3,6,99,15
3,29812,128,5,4,4,100,15
3,29843,129,5,4,8,97,15
3,29809,128,5,5,2,101,15
3,29836,129,5,5,6,98,15
3,29831,129,5,6,4,99,15
3,29828,129,5,7,2,100,15
3,29827,129,5,8,0,101,15
3,29796,127,6,0,5,101,15
3,29823,128,6,0,9,98,15
3,29815,128,6,1,7,99,15
3,29809,128,6,2,5,100,15
3,29840,129,6,2,9,97,15
3,29805,128,6,3,3,101,15
3,29832,129,6,3,7,98,15
3,29826,129,6,4,5,99,15
3,29822,129,6,5,3,100,15
3,29820,129,6,6,1,101,15
3,29847,130,6,6,5,98,15
3,29843,130,6,7,3,99,15
3,29841,130,6,8,1,100,15
3,29808,128,7,0,6,100,15
3,29839,129,7,0,10,97,15
3,29803,128,7,1,4,101,15
3,29830,129,7,1,8,98,15
3,29823,129,7,2,6,99,15
3,29818,129,7,3,4,100,15
3,29815,129,7,4,2,101,15
3,29842,130,7,4,6,98,15
3,29837,130,7,5,4,99,15
3,29834,130,7,6,2,100,15
3,29833,130,7,7,0,101,15
3,29822,129,8,0,7,99,15
3,29816,129,8,1,5,100,15
3,29847,130,8,1,9,97,15
3,29812,129,8,2,3,101,15
3,29839,130,8,2,7,98,15
3,29833,130,8,3,5,99,15
3,29829,130,8,4,3,100,15
3,29827,130,8,5,1,101,15
3,29811,129,9,0,4,101,15
3,29838,130,9,0,8,98,15
3,29831,130,9,1,6,99,15
3,29826,130,9,2,4,100,15
3,29823,130,9,3,2,101,15
3,29845,131,9,4,4,99,15
3,29842,131,9,5,2,100,15
3,29841,131,9,6,0,101,15
3,29825,130,10,0,5,100,15
3,29821,130,10,1,3,101,15
3,29842,131,10,2,5,99,15
3,29838,131,10,3,3,100,15
3,29836,131,10,4,1,101,15
3,29841,131,11,0,6,99,15
3,29836,131,11,1,4,100,15
3,29833,131,11,2,2,101,15
3,29832,131,12,0,3,101,15
3,29847,132,12,3,1,101,15
3,29845,132,13,1,2,101,15
4,29811,124,0,0,11,98,15
4,29801,124,0,1,9,99,15
4,29836,125,0,1,13,96,15
4,29793,124,0,2,7,100,15
4,29824,125,0,2,11,97,15
4,29814,125,0,3,9,98,15
4,29806,125,0,4,7,99,15
4,29841,126,0,4,11,96,15
4,29800,125,0,5,5,100,15
4,29831,126,0,5,9,97,15
4,29823,126,0,6,7,98,15
4,29817,126,0,7,5,99,15
4,29813,126,0,8,3,100,15
4,29844,127,0,8,7,97,15
4,29838,127,0,9,5,98,15
4,29834,127,0,10,3,99,15
4,29832,127,0,11,1,100,15
4,29792,124,1,0,8,100,15
4,29823,125,1,0,12,97,15
4,29812,125,1,1,10,98,15
4,29803,125,1,2,8,99,15
4,29838,126,1,2,12,96,15
4,29796,125,1,3,6,100,15
4,29827,126,1,3,10,97,15
4,29818,126,1,4,8,98,15
4,29811,126,1,5,6,99,15
4,29846,127,1,5,10,96,15
4,29806,126,1,6,4,100,15
4,29837,127,1,6,8,97,15
4,29830,127,1,7,6,98,15
4,29825,127,1,8,4,99,15
4,29822,127,1,9,2,100,15
4,29845,128,1,11,2,99,15
4,29844,128,1,12,0,100,15
4,29802,125,2,0,9,99,15
4,29837,126,2,0,13,96,15
4,29794,125,2,1,7,100,15
4,29825,126,2,1,11,97,15
4,29815,126,2,2,9,98,15
4,29807,126,2,3,7,99,15
4,29842,127,2,3,11,96,15
4,29801,126,2,4,5,100,15
4,29832,127,2,4,9,97,15
4,29824,127,2,5,7,98,15
4,29818,127,2,6,5,99,15
4,29814,127,2,7,3,100,15
4,29845,128,2,7,7,97,15
4,29839,128,2,8,5,98,15
4,29835,128,2,9,3,99,15
4,29833,128,2,10,1,100,15
4,29814,126,3,0,10,98,15
4,29805,126,3,1,8,99,15
4,29840,127,3,1,12,96,15
4,29798,126,3,2,6,100,15
4,29829,127,3,2,10,97,15
4,29820,127,3,3,8,98,15
4,29813,127,3,4,6,99,15
4,29808,127,3,5,4,100,15
4,29839,128,3,5,8,97,15
4,29832,128,3,6,6,98,15
4,29827,128,3,7,4,99,15
4,29824,128,3,8,2,100,15
4,29847,129,3,10,2,99,15
4,29846,129,3,11,0,100,15
4,29797,126,4,0,7,100,15
4,29828,127,4,0,11,97,15
4,29818,127,4,1,9,98,15
4,29810,127,4,2,7,99,15
4,29845,128,4,2,11,96,15
4,29804,127,4,3,5,100,15
4,29835,128,4,3,9,97,15
4,29827,128,4,4,7,98,15
4,29821,128,4,5,5,99,15
4,29817,128,4,6,3,100,15
4,29842,129,4,7,5,98,15
4,29838,129,4,8,3,99,15
4,29836,129,4,9,1,100,15
4,29809,127,5,0,8,99,15
4,29844,128,5,0,12,96,15
4,29802,127,5,1,6,100,15
4,29833,128,5,1,10,97,15
4,29824,128,5,2,8,98,15
4,29817,128,5,3,6,99,15
4,29812,128,5,4,4,100,15
4,29843,129,5,4,8,97,15
4,29836,129,5,5,6,98,15
4,29831,129,5,6,4,99,15
4,29828,129,5,7,2,100,15
4,29823,128,6,0,9,98,15
4,29815,128,6,1,7,99,15
4,29809,128,6,2,5,100,15
4,29840,129,6,2,9,97,15
4,29832,129,6,3,7,98,15
4,29826,129,6,4,5,99,15
4,29822,129,6,5,3,100,15
4,29847,130,6,6,5,98,15
4,29843,130,6,7,3,99,15
4,29841,130,6,8,1,100,15
4,29808,128,7,0,6,100,15
4,29839,129,7,0,10,97,15
4,29830,129,7,1,8,98,15
4,29823,129,7,2,6,99,15
4,29818,129,7,3,4,100,15
4,29842,130,7,4,6,98,15
4,29837,130,7,5,4,99,15
4,29834,130,7,6,2,100,15
4,29822,129,8,0,7,99,15
4,29816,129,8,1,5,100,15
4,29847,130,8,1,9,97,15
4,29839,130,8,2,7,98,15
4,29833,130,8,3,5,99,15
4,29829,130,8,4,3,100,15
4,29838,130,9,0,8,98,15
4,29831,130,9,1,6,99,15
4,29826,130,9,2,4,100,15
4,29845,131,9,4,4,99,15
4,29842,131,9,5,2,100,15
4,29825,130,10,0,5,100,15
4,29842,131,10,2,5,99,15
4,29838,131,10,3,3,100,15
4,29841,131,11,0,6,99,15
4,29836,131,11,1,4,100,15
5,29811,124,0,0,11,98,15
5,29801,124,0,1,9,99,15
5,29836,125,0,1,13,96,15
5,29793,124,0,2,7,100,15
5,29824,125,0,2,11,97,15
5,29787,124,0,3,5,101,15
5,29814,125,0,3,9,98,15
5,29806,125,0,4,7,99,15
5,29841,126,0,4,11,96,15
5,29800,125,0,5,5,100,15
5,29831,126,0,5,9,97,15
5,29796,125,0,6,3,101,15
5,29823,126,0,6,7,98,15
5,29817,126,0,7,5,99,15
5,29813,126,0,8,3,100,15
5,29844,127,0,8,7,97,15
5,29811,126,0,9,1,101,15
5,29838,127,0,9,5,98,15
5,29834,127,0,10,3,99,15
5,29832,127,0,11,1,100,15
5,29792,124,1,0,8,100,15
5,29823,125,1,0,12,97,15
5,29785,124,1,1,6,101,15
5,29812,125,1,1,10,98,15
5,29803,125,1,2,8,99,15
5,29838,126,1,2,12,96,15
5,29796,125,1,3,6,100,15
5,29827,126,1,3,10,97,15
5,29791,125,1,4,4,101,15
5,29818,126,1,4,8,98,15
5,29811,126,1,5,6,99,15
5,29846,127,1,5,10,96,15
5,29806,126,1,6,4,100,15
5,29837,127,1,6,8,97,15
5,29803,126,1,7,2,101,15
5,29830,127,1,7,6,98,15
5,29825,127,1,8,4,99,15
5,29822,127,1,9,2,100,15
5,29821,127,1,10,0,101,15
5,29845,128,1,11,2,99,15
5,29844,128,1,12,0,100,15
5,29802,125,2,0,9,99,15
5,29837,126,2,0,13,96,15
5,29794,125,2,1,7,100,15
5,29825,126,2,1,11,97,15
5,29788,125,2,2,5,101,15
5,29815,126,2,2,9,98,15
5,29807,126,2,3,7,99,15
5,29842,127,2,3,11,96,15
5,29801,126,2,4,5,100,15
5,29832,127,2,4,9,97,15
5,29797,126,2,5,3,101,15
5,29824,127,2,5,7,98,15
5,29818,127,2,6,5,99,15
5,29814,127,2,7,3,100,15
5,29845,128,2,7,7,97,15
5,29812,127,2,8,1,101,15
5,29839,128,2,8,5,98,15
5,29835,128,2,9,3,99,15
5,29833,128,2,10,1,100,15
5,29787,125,3,0,6,101,15
5,29814,126,3,0,10,98,15
5,29805,126,3,1,8,99,15
5,29840,127,3,1,12,96,15
5,29798,126,3,2,6,100,15
5,29829,127,3,2,10,97,15
5,29793,126,3,3,4,101,15
5,29820,127,3,3,8,98,15
5,29813,127,3,4,6,99,15
5,29808,127,3,5,4,100,15
5,29839,128,3,5,8,97,15
5,29805,127,3,6,2,101,15
5,29832,128,3,6,6,98,15
5,29827,128,3,7,4,99,15
5,29824,128,3,8,2,100,15
5,29823,128,3,9,0,101,15
5,29847,129,3,10,2,99,15
5,29846,129,3,11,0,100,15
5,29797,126,4,0,7,100,15
5,29828,127,4,0,11,97,15
5,29791,126,4,1,5,101,15
5,29818,127,4,1,9,98,15
5,29810,127,4,2,7,99,15
5,29845,128,4,2,11,96,15
5,29804,127,4,3,5,100,15
5,29835,128,4,3,9,97,15
5,29800,127,4,4,3,101,15
5,29827,128,4,4,7,98,15
5,29821,128,4,5,5,99,15
5,29817,128,4,6,3,100,15
5,29815,128,4,7,1,101,15
5,29842,129,4,7,5,98,15
5,29838,129,4,8,3,99,15
5,29836,129,4,9,1,100,15
5,29809,127,5,0,8,99,15
5,29844,128,5,0,12,96,15
5,29802,127,5,1,6,100,15
5,29833,128,5,1,10,97,15
5,29797,127,5,2,4,101,15
5,29824,128,5,2,8,98,15
5,29817,128,5,3,6,99,15
5,29812,128,5,4,4,100,15
5,29843,129,5,4,8,97,15
5,29809,128,5,5,2,101,15
5,29836,129,5,5,6,98,15
5,29831,129,5,6,4,99,15
5,29828,129,5,7,2,100,15
5,29827,129,5,8,0,101,15
5,29796,127,6,0,5,101,15
5,29823,128,6,0,9,98,15
5,29815,128,6,1,7,99,15
5,29809,128,6,2,5,100,15
5,29840,129,6,2,9,97,15
5,29805,128,6,3,3,101,15
5,29832,129,6,3,7,98,15
5,29826,129,6,4,5,99,15
5,29822,129,6,5,3,100,15
5,29820,129,6,6,1,101,15
5,29847,130,6,6,5,98,15
5,29843,130,6,7,3,99,15
5,29841,130,6,8,1,100,15
5,29808,128,7,0,6,100,15
5,29839,129,7,0,10,97,15
5,29803,128,7,1,4,101,15
5,29830,129,7,1,8,98,15
5,29823,129,7,2,6,99,15
5,29818,129,7,3,4,100,15
5,29815,129,7,4,2,101,15
5,29842,130,7,4,6,98,15
5,29837,130,7,5,4,99,15
5,29834,130,7,6,2,100,15
5,29833,130,7,7,0,101,15
5,29822,129,8,0,7,99,15
5,29816,129,8,1,5,100,15
5,29847,130,8,1,9,97,15
5,29812,129,8,2,3,101,15
5,29839,130,8,2,7,98,15
5,29833,130,8,3,5,99,15
5,29829,130,8,4,3,100,15
5,29827,130,8,5,1,101,15
5,29811,129,9,0,4,101,15
5,29838,130,9,0,8,98,15
5,29831,130,9,1,6,99,15
5,29826,130,9,2,4,100,15
5,29823,130,9,3,2,101,15
5,29845,131,9,4,4,99,15
5,29842,131,9,5,2,100,15
5,29841,131,9,6,0,101,15
5,29825,130,10,0,5,100,15
5,29821,130,10,1,3,101,15
5,29842,131,10,2,5,99,15
5,29838,131,10,3,3,100,15
5,29836,131,10,4,1,101,15
5,29841,131,11,0,6,99,15
5,29836,131,11,1,4,100,15
5,29833,131,11,2,2,101,15
5,29832,131,12,0,3,101,15
5,29847,132,12,3,1,101,15
5,29845,132,13,1,2,101,15
6,29811,124,0,0,11,98,15
6,29801,124,0,1,9,99,15
6,29836,125,0,1,13,96,15
6,29793,124,0,2,7,100,15
6,29824,125,0,2,11,97,15
6,29787,124,0,3,5,101,15
6,29814,125,0,3,9,98,15
6,29806,125,0,4,7,99,15
6,29841,126,0,4,11,96,15
6,29800,125,0,5,5,100,15
6,29831,126,0,5,9,97,15
6,29796,125,0,6,3,101,15
6,29823,126,0,6,7,98,15
6,29817,126,0,7,5,99,15
6,29813,126,0,8,3,100,15
6,29844,127,0,8,7,97,15
6,29811,126,0,9,1,101,15
6,29838,127,0,9,5,98,15
6,29834,127,0,10,3,99,15
6,29832,127,0,11,1,100,15
6,29792,124,1,0,8,100,15
6,29823,125,1,0,12,97,15
6,29785,124,1,1,6,101,15
6,29812,125,1,1,10,98,15
6,29803,125,1,2,8,99,15
6,29838,126,1,2,12,96,15
6,29796,125,1,3,6,100,15
6,29827,126,1,3,10,97,15
6,29791,125,1,4,4,101,15
6,29818,126,1,4,8,98,15
6,29811,126,1,5,6,99,15
6,29846,127,1,5,10,96,15
6,29806,126,1,6,4,100,15
6,29837,127,1,6,8,97,15
6,29803,126,1,7,2,101,15
6,29830,127,1,7,6,98,15
6,29825,127,1,8,4,99,15
6,29822,127,1,9,2,100,15
6,29821,127,1,10,0,101,15
6,29845,128,1,11,2,99,15
6,29844,128,1,12,0,100,15
6,29802,125,2,0,9,99,15
6,29837,126,2,0,13,96,15
6,29794,125,2,1,7,100,15
6,29825,126,2,1,11,97,15
6,29788,125,2,2,5,101,15
6,29815,126,2,2,9,98,15
6,29807,126,2,3,7,99,15
6,29842,127,2,3,11,96,15
6,29801,126,2,4,5,100,15
6,29832,127,2,4,9,97,15
6,29797,126,2,5,3,101,15
6,29824,127,2,5,7,98,15
6,29818,127,2,6,5,99,15
6,29814,127,2,7,3,100,15
6,29845,128,2,7,7,97,15
6,29812,127,2,8,1,101,15
6,29839,128,2,8,5,98,15
6,29835,128,2,9,3,99,15
6,29833,128,2,10,1,100,15
6,29787,125,3,0,6,101,15
6,29814,126,3,0,10,98,15
6,29805,126,3,1,8,99,15
6,29840,127,3,1,12,96,15
6,29798,126,3,2,6,100,15
6,29829,127,3,2,10,97,15
6,29793,126,3,3,4,101,15
6,29820,127,3,3,8,98,15
6,29813,127,3,4,6,99,15
6,29808,127,3,5,4,100,15
6,29839,128,3,5,8,97,15
6,29805,127,3,6,2,101,15
6,29832,128,3,6,6,98,15
6,29827,128,3,7,4,99,15
6,29824,128,3,8,2,100,15
6,29823,128,3,9,0,101,15
6,29847,129,3,10,2,99,15
6,29846,129,3,11,0,100,15
6,29797,126,4,0,7,100,15
6,29828,127,4,0,11,97,15
6,29791,126,4,1,5,101,15
6,29818,127,4,1,9,98,15
6,29810,127,4,2,7,99,15
6,29845,128,4,2,11,96,15
6,29804,127,4,3,5,100,15
6,29835,128,4,3,9,97,15
6,29800,127,4,4,3,101,15
6,29827,128,4,4,7,98,15
6,29821,128,4,5,5,99,15
6,29817,128,4,6,3,100,15
6,29815,128,4,7,1,101,15
6,29842,129,4,7,5,98,15
6,29838,129,4,8,3,99,15
6,29836,129,4,9,1,100,15
6,29809,127,5,0,8,99,15
6,29844,128,5,0,12,96,15
6,29802,127,5,1,6,100,15
6,29833,128,5,1,10,97,15
6,29797,127,5,2,4,101,15
6,29824,128,5,2,8,98,15
6,29817,128,5,3,6,99,15
6,29812,128,5,4,4,100,15
